device_serial,device_type,manufacturer,model,sim_type
DEV-202602-572A-000001,fitness_tracker,Garmin,Vivosmart 5,
DEV-202602-F033-000002,smartwatch,Samsung,Galaxy Watch 5 Pro,eSIM
DEV-202602-4804-000003,fitness_tracker,WHOOP,WHOOP 3.0,
DEV-202602-20F2-000004,blood_pressure_monitor,A&D Medical,UA-651,eSIM
DEV-202602-A06F-000005,smart_ring,Oura,Oura Ring Gen3 Horizon,USIM
DEV-202602-D783-000006,smartwatch,Withings,ScanWatch Light,eSIM
DEV-202602-21E6-000007,fitness_tracker,Fitbit,Inspire 3,
DEV-202602-A63D-000008,smartwatch,Fitbit,Sense 2,USIM
DEV-202602-DAE8-000009,glucose_monitor,Dexcom,G6,
DEV-202602-5BA0-000010,pulse_oximeter,Zacurate,Pro Series 700,eSIM
DEV-202602-547D-000011,fitness_tracker,Amazfit,Band 7,
DEV-202602-8967-000012,smartwatch,Suunto,Suunto 7,eSIM
DEV-202602-E6DE-000013,smartwatch,Suunto,Suunto 9,SIM
DEV-202602-F1CC-000014,fitness_tracker,Amazfit,Band 5,
DEV-202602-4E32-000015,smartwatch,Amazfit,GTR 4,eSIM
DEV-202602-B67B-000016,ecg_monitor,Polar,H9,eSIM
DEV-202602-AF93-000017,smart_ring,Ultrahuman,Ring Air,eSIM
DEV-202602-4F3C-000018,smartwatch,Garmin,Forerunner 955,eSIM
DEV-202602-D22A-000019,smart_ring,Oura,Oura Ring Gen3 Horizon,eSIM
DEV-202602-B77D-000020,fitness_tracker,Fitbit,Inspire 3,
DEV-202602-0DB6-000021,smartwatch,Withings,Steel HR,eSIM
DEV-202602-4BEC-000022,smartwatch,Fitbit,Sense 2,eSIM
DEV-202602-69C2-000023,pulse_oximeter,Masimo,MightySat,eSIM
DEV-202602-47B3-000024,ecg_monitor,AliveCor,KardiaMobile 6L,eSIM
DEV-202602-2BC9-000025,smartwatch,Suunto,Suunto 9,eSIM
DEV-202602-9370-000026,pulse_oximeter,Nonin,Onyx Vantage 9590,eSIM
DEV-202602-CE68-000027,smartwatch,Polar,Vantage V2,eSIM
DEV-202602-A5CE-000028,smart_ring,Oura,Oura Ring Gen2,eSIM
DEV-202602-9831-000029,smartwatch,Amazfit,GTS 4,eSIM
DEV-202602-2B6C-000030,ecg_monitor,Wahoo,TICKR,USIM
DEV-202602-EC87-000031,pulse_oximeter,Masimo,MightySat Rx,iSIM
DEV-202602-9265-000032,glucose_monitor,Medtronic,Guardian 4,
DEV-202602-0D60-000033,smartwatch,Garmin,Fenix 7,USIM
DEV-202602-6CEF-000034,smartwatch,Samsung,Galaxy Watch 6 Classic,eSIM
DEV-202602-666B-000035,smartwatch,Apple,Watch Ultra 2,eSIM
DEV-202602-5E00-000036,blood_pressure_monitor,A&D Medical,UA-1020,eSIM
DEV-202602-D538-000037,fitness_tracker,Fitbit,Charge 6,
DEV-202602-577F-000038,fitness_tracker,Fitbit,Charge 6,
DEV-202602-0153-000039,glucose_monitor,Medtronic,Guardian 4,
DEV-202602-B7D0-000040,smartwatch,Garmin,Forerunner 265,eSIM
DEV-202602-62F9-000041,glucose_monitor,Senseonics,Eversense E3,
DEV-202602-69B8-000042,smartwatch,Garmin,Venu 3,eSIM
DEV-202602-DE73-000043,smartwatch,Fitbit,Versa 4,eSIM
DEV-202602-DC86-000044,smartwatch,Fitbit,Sense,USIM
DEV-202602-65CA-000045,smartwatch,Garmin,Fenix 7,eSIM
DEV-202602-746F-000046,smartwatch,Apple,Watch SE (2nd Gen),eSIM
DEV-202602-4E77-000047,fitness_tracker,Fitbit,Inspire 2,
DEV-202602-FFF5-000048,fitness_tracker,Garmin,Vivofit 4,
DEV-202602-FA80-000049,ecg_monitor,AliveCor,KardiaMobile 6L,eSIM
DEV-202602-4888-000050,smartwatch,Fitbit,Versa 3,eSIM
DEV-202602-6CF5-000051,smartwatch,Samsung,Galaxy Watch 6,eSIM
DEV-202602-6D93-000052,fitness_tracker,Fitbit,Charge 5,
DEV-202602-69EB-000053,fitness_tracker,Garmin,Vivosmart 4,
DEV-202602-BD54-000054,smartwatch,Samsung,Galaxy Watch 5 Pro,eSIM
DEV-202602-17AF-000055,blood_pressure_monitor,Omron,Platinum,eSIM
DEV-202602-FA09-000056,blood_pressure_monitor,Omron,Platinum,eSIM
DEV-202602-AD0C-000057,blood_pressure_monitor,A&D Medical,UA-651,SIM
DEV-202602-382E-000058,blood_pressure_monitor,Withings,BPM Core,eSIM
DEV-202602-74A8-000059,ecg_monitor,Wahoo,TICKR FIT,eSIM
DEV-202602-77BF-000060,ecg_monitor,iRhythm,Zio Patch,eSIM
DEV-202602-8B3D-000061,smartwatch,Amazfit,Balance,eSIM
DEV-202602-518B-000062,ecg_monitor,Wahoo,TICKR X,eSIM
DEV-202602-8B4E-000063,fitness_tracker,Fitbit,Charge 4,
DEV-202602-CCBD-000064,smart_ring,Oura,Oura Ring Gen3 Horizon,eSIM
DEV-202602-DA21-000065,fitness_tracker,Garmin,Vivosmart 5,
DEV-202602-B0F0-000066,blood_pressure_monitor,Omron,Platinum,USIM
DEV-202602-96CE-000067,smartwatch,Suunto,Suunto 9 Peak,eSIM
DEV-202602-BCB7-000068,smartwatch,Fitbit,Sense 2,eSIM
DEV-202602-723C-000069,smartwatch,Withings,ScanWatch Light,eSIM
DEV-202602-C220-000070,fitness_tracker,Fitbit,Charge 4,
DEV-202602-4C43-000071,fitness_tracker,Fitbit,Inspire 3,
DEV-202602-4C6D-000072,fitness_tracker,Fitbit,Inspire 2,
DEV-202602-CC94-000073,fitness_tracker,Garmin,Vivosmart 5,
DEV-202602-5D67-000074,blood_pressure_monitor,Omron,Complete,eSIM
DEV-202602-B055-000075,smartwatch,Withings,Steel HR,iSIM
DEV-202602-E09D-000076,smart_ring,Oura,Oura Ring Gen3 Horizon,eSIM
DEV-202602-7FBA-000077,glucose_monitor,Medtronic,Guardian 4,
DEV-202602-A438-000078,fitness_tracker,Fitbit,Charge 6,
DEV-202602-34A1-000079,glucose_monitor,Medtronic,Guardian Sensor 3,
DEV-202602-86E7-000080,smartwatch,Withings,ScanWatch,USIM
DEV-202602-5915-000081,smartwatch,Suunto,Suunto Vertical,USIM
DEV-202602-B9B1-000082,smartwatch,Amazfit,Balance,eSIM
DEV-202602-5882-000083,fitness_tracker,Garmin,Vivosport,
DEV-202602-F7C4-000084,smartwatch,Garmin,Venu 3,USIM
DEV-202602-AA7B-000085,smartwatch,Garmin,Epix (Gen 2),eSIM
